user_id,purchase_date,purchase_amount
24,2021-09-18,340.28
35,2020-06-10,213.02
5,2020-04-27,656.35
49,2021-09-02,81.29
30,2021-08-16,359.57
3,2020-07-03,490.11
3,2020-11-29,239.77
37,2021-05-27,543.34
0,2020-01-20,613.01
15,2020-02-07,2.77
11,2021-07-31,60.49
38,2020-02-24,972.05
11,2021-03-04,776.18
24,2020-01-09,393.03
41,2021-04-25,45.51
8,2020-11-14,0.12
49,2020-01-22,156.47
35,2021-09-14,426.07
25,2021-04-10,819.58
26,2020-05-09,439.63
45,2021-12-18,122.96
31,2020-11-04,11.01
9,2021-09-21,559.97
11,2021-12-28,997.04
20,2021-06-06,388.13
15,2021-05-02,20.45
4,2021-05-26,564.06
5,2020-04-17,491.69
20,2021-05-17,50.9
20,2021-12-06,966.08
25,2020-07-24,153.9
46,2021-10-11,933.4
30,2020-07-28,320.05
23,2020-05-07,145.79
40,2021-12-06,200.65
29,2020-10-20,963.37
18,2021-01-22,595.39
9,2020-05-30,485.51
4,2021-01-29,827.62
1,2021-08-23,642.43
16,2020-07-20,618.27
44,2020-10-29,196.63
12,2020-05-06,146.08
37,2021-11-15,629.33
26,2021-07-16,540.32
21,2021-02-14,952.39
41,2020-12-16,342.02
0,2021-02-07,629.56
21,2021-03-17,676.01
22,2020-02-04,839.29
38,2021-08-19,196.37
27,2020-01-31,775.6
22,2021-10-27,338.45
45,2021-05-08,714.34
20,2021-09-28,96.21
47,2021-12-08,118.52
37,2021-11-21,528.54
21,2021-04-19,766.1
0,2021-10-14,831.03
7,2020-10-01,162.13
18,2021-09-05,796.91
20,2021-07-02,817.09
7,2020-06-19,959.77
15,2020-12-06,974.7
39,2020-06-19,669.16
30,2021-06-17,373.62
21,2020-10-24,898.0
46,2021-05-14,237.23
6,2021-09-26,136.52
7,2020-01-31,536.27
16,2021-09-13,513.64
9,2020-03-31,412.46
12,2020-04-28,393.65
14,2021-09-20,96.77
23,2021-06-20,117.09
9,2020-07-22,246.75
10,2021-12-02,603.68
15,2020-06-26,544.0
19,2020-11-20,584.99
19,2021-02-22,801.27
4,2021-05-19,933.18
43,2020-07-23,888.83
40,2021-09-28,130.57
21,2020-11-12,549.08
4,2020-05-22,817.76
12,2021-10-03,812.99
35,2020-07-10,227.47
29,2020-08-27,182.49
3,2020-03-17,783.97
11,2020-11-06,364.44
39,2021-02-12,691.77
25,2020-03-22,433.17
9,2020-08-26,49.17
16,2021-07-15,778.91
47,2020-01-15,303.03
1,2020-08-20,533.7
35,2021-08-09,511.12
48,2021-12-30,959.24
27,2021-09-13,66.81
33,2021-02-22,511.22
1,2020-05-17,758.2
45,2020-11-01,937.76
44,2020-06-04,5.25
4,2021-09-08,826.44
30,2021-04-18,676.9
29,2020-10-30,858.29
46,2021-05-20,889.09
13,2021-02-19,592.21
21,2021-10-24,503.66
8,2021-08-17,737.94
43,2020-04-21,578.21
30,2021-06-28,582.04
45,2020-10-26,777.43
17,2020-01-01,563.11
24,2021-09-28,962.58
26,2021-10-24,954.32
5,2020-03-09,459.77
3,2020-07-28,124.46
16,2020-05-14,114.76
45,2021-05-02,452.55
0,2020-11-20,47.03
47,2021-02-20,921.3
16,2021-05-10,234.31
15,2021-06-16,721.75
12,2021-06-12,904.93
18,2021-09-27,599.84
1,2021-05-11,587.07
0,2020-03-13,22.44
24,2020-04-05,275.37
41,2020-08-21,118.92
6,2021-04-25,768.25
42,2021-09-21,638.43
44,2021-12-22,448.2
